,GP,WORDS COUNT,WORD FREQ,GP COUNT,GP FREQ,G CONSISTENCY,P CONSISTENCY,SCORE
20,ch~C,137,0.01620151371807001,142,0.002586897908620564,1.0,1.0,40.835944664989704
21,ñ~J,111,0.013126773888363292,111,0.0020221525905414267,1.0,1.0,40.67656022032358
22,s~z,54,0.006385998107852412,54,0.0009837499089120456,0.01382134630151011,1.0,40.32913740448174
23,x~Gs,33,0.003902554399243141,33,0.0006011804998906945,0.2462686567164179,1.0,40.201139524961064
24,y~H,102,0.012062440870387891,102,0.0018581942723894193,0.6538461538461539,0.9622641509433962,39.112270023979136
25,g~G,467,0.05522705771050142,471,0.00858048531662173,0.5286195286195287,0.9022988505747126,38.93911176167979
26,r~R,477,0.05640964995269631,477,0.008689790862056401,0.1124204572236625,0.7656500802568218,33.53338361652825
27,b~B,679,0.0802980132450331,685,0.012479049770458354,0.7241014799154334,0.5854700854700855,27.55849457875966
28,ll~L,149,0.017620624408703878,149,0.0027144210449610144,1.0,0.6622222222222223,27.397064319773694
29,j~x,347,0.041035950804162724,347,0.006321504044305181,1.0,0.6207513416815742,26.945066247914156
30,v~b,372,0.04399243140964995,372,0.0067769438169496465,0.44657863145258103,0.5876777251184834,25.774500013391332
31,u~#,164,0.019394512771996216,164,0.0029876849085476937,0.09518282066163668,0.5597269624573379,23.388680985978805
32,v~B,460,0.054399243140964997,461,0.008398309407563944,0.553421368547419,0.394017094017094,18.56462901180765
33,b~b,261,0.03086565752128666,261,0.00475479122640822,0.2758985200845666,0.41232227488151657,18.083721783589077
34,g~x,210,0.024834437086092714,212,0.0038621292720250676,0.23793490460157127,0.37924865831842575,16.450289479761917
35,l~L,76,0.008987701040681173,76,0.0013845369088391752,0.03641590800191662,0.3377777777777778,13.974341532233561
36,c~s,826,0.09768211920529801,836,0.015229905997230926,0.3071271124173402,0.1643404757224297,11.610024049134399
37,l~#,73,0.008632923368022705,73,0.0013298841361218392,0.03497843794920939,0.24914675767918087,10.41081531692959
38,rr~R,146,0.01726584673604541,146,0.0026597682722436784,1.0,0.23434991974317818,10.263886809251835
39,ó~o,613,0.07249290444654682,613,0.011167383225242295,1.0,0.11293294030950626,8.253636666960015
40,í~i,414,0.0489593188268685,414,0.007542082634992349,1.0,0.1241751649670066,7.490393366373613
41,h~#,50,0.005912961210974456,50,0.0009108795452889309,0.8064516129032258,0.17064846416382254,7.130695422554513
42,z~s,294,0.0347682119205298,298,0.005428842089922029,1.0,0.05858069589148811,4.135926852585234
43,q~k,140,0.016556291390728478,140,0.002550462726809007,1.0,0.06737247353224254,3.5482181380942155
44,á~a,248,0.0293282876064333,248,0.004517962544633098,1.0,0.03299627461415647,2.831444990334255
45,n~m,90,0.01064333017975402,90,0.001639583181520076,0.025921658986175114,0.05229517722254503,2.640369429704703
46,ú~u,59,0.006977294228949858,59,0.0010748378634409385,1.0,0.04620203602192639,2.207694530958958
47,é~e,166,0.019631031220435195,166,0.003024120090359251,1.0,0.02840034217279726,2.147806448837243
48,x~G,24,0.002838221381267739,24,0.0004372221817386869,0.1791044776119403,0.046966731898238745,2.024952566810324
49,t~D,59,0.006977294228949858,59,0.0010748378634409385,0.021470160116448325,0.03706030150753769,1.84202515038341
50,x~s,77,0.009105960264900662,77,0.0014027544997449537,0.5746268656716418,0.015136622763908,1.0747904687988026
51,y~i,53,0.006267738883632923,54,0.0009837499089120456,0.34615384615384615,0.016196760647870425,0.9710948691855836
52,w~B,23,0.0027199621570482497,23,0.00041900459083290826,0.7931034482758621,0.019658119658119658,0.9265129400855279
53,hu~u,24,0.002838221381267739,24,0.0004372221817386869,0.8571428571428571,0.018794048551292093,0.8980452329324575
54,ha~a,78,0.009224219489120151,78,0.0014209720906507323,1.0,0.010377860564129857,0.8905351179277091
55,k~k,29,0.0034295175023651846,29,0.0005283101362675799,1.0,0.01395572666025024,0.7349880428909447
56,ho~o,52,0.006149479659413435,52,0.0009473147271004882,1.0,0.009579955784819455,0.7001453616344548
57,hi~i,26,0.0030747398297067173,26,0.0004736573635502441,0.8666666666666667,0.007798440311937612,0.4704111775983428
58,he~e,36,0.004257332071901609,36,0.0006558332726080303,1.0,0.006159110350727117,0.4657893503502455
59,qu~k,17,0.002010406811731315,17,0.0003096990453982365,1.0,0.008180943214629451,0.4308550596257261
